archivo,dept,mun,zona,stand,mesa,texto_p1,ocr_ok,numeros_detectados,potencial_mesa,total_sufragantes,votos_cepeda,votos_claudia,votos_botero,votos_espriella,votos_lizcano,votos_uribe_l,votos_sondra,votos_barreras,votos_caicedo,votos_matamoros,votos_paloma,votos_fajardo,votos_murillo,suma_candidatos_detectados,candidatos_detectados,hubo_recuento
011.pdf,60,001,01,01,011,"- OOOEO UO DO DO - 710093402010103 Ver: 01 Pag: 1 de 3 E =_ :í 1 E ACTA DE ESCRUTINIO DE LOS m T j&, ME — JURADOSDEVOTACIÓN r :l$¡ =. ELECCIÓN-PRESIDENCIA Y | m "" PE VICEPRESIDENCIA DE LA REPÚBLICA [ | E]_ . ld MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS - MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 011 | LUGAR: IE INEM JOSE EUSTACIO RIVERA | X d4-95-15-17 X NIVELACIÓN DE LA M",True,88,247,2,2,,7,1,5,,,,10,,,,2,27,6,S
012.pdf,60,001,01,01,012,"_ CDO TU NAAO "" EF-"" E ACTA DE ESCRUTINIO DE LOS m - . JURADOS DE VOTACIÓN - E ELECCIÓN PRESID'¿NCIA Y VICEPRESIDENCIA DE LA REPUBLICA T [m] 3.¡$5 MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO; 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 012 LUGAR: IE INEM JOSE EUSTACIO RIVERA | X 6-76-34-15 X NIVELACIÓN DE LA MESA 1 4 6 .r CANDIDATO AGRUPACIÓN VOTACIÓN HISTÓRICO 1 u * + 2 IVÁN",True,78,,19,,,,,6,,,9,,,12,13,2,42,5,S
013.pdf,60,001,01,01,013,"_ DIO DO - 710093422010103 Ver: 01 Pag: 1 de 3 E _1: E ACTA DE ESCRUTINIO DE LOS m - N =. JN JURADOS DE VOTACIÓN * H':-E£¡.- T ELECCIÓN PRESIDENCIA Y | o ' El ' VICEPRESIDENCIA DE LA REPUBLICA — E_ , "" Fe MAYO 31 DE 2026 REGIE&“—;E£%& DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 013 LUGAR: IE INEM JOSE EUSTACIO RIVERA | X 3-28-08-19 X NIVELACIÓN DE LA MESA 169 193",True,87,169,1,2,,,5,6,,,,15,,,13,1,42,6,S
014.pdf,60,001,01,01,014,"_ TA ANOO - 710093432010103 Ver: 01 Pag: 1 de 3 | E""'-' a. E ACTA DE ESCRUTINIO DE LOS m — JURADOS DE VOTACIÓN ___ .*'|""E ; ELECCIÓN PRESIDENCIA Y ""1 . El VICEPRESIDENCIA DE LA REPUBLICA , | E a MAYO 31 DE 2026 REGISTRADURIA f DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 014 | LUGAR: IE INEM JOSEÉ EUSTACIO RIVERA | X 2-41-36-19 X | NIVELACIÓN DE LA MESA — 122 122 ",True,84,122,9,2,3,,9,5,,,,1,,,13,,33,6,S
015.pdf,60,001,01,01,015,"_ AEEOOO MENO - 710093442010103 Ver: 01 Pag: 1 de 3 E€ + E ACTA DE ESCRUTINIO DE LOS m pO A — JURADOSDE VOTACIÓN "", E | l _ !:FE. , ELECCIÓN PRESIDENCIA Y . NE VICEPRESIDENCIA DE LA REPÚBLICA E— [m] e MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 015 - LUGAR: IE INEM JOSE EUSTACIO RIVERA X B5-95-91-18 X | NIVELACIÓN DE LA MESA | TOTA",True,82,,9,2,,6,4,9,,,,10,,12,13,,56,7,S
016.pdf,60,001,01,01,016,"- TE DL IVOOO DYO N 710093452010103 Ver: 01 Pag: 1 de 3 E a! '.:;E| ACTA DE ESCRUTINIO DE LOS m — .l_¡'E ' JURADOS DE VOTACIÓN N "", p TEO ELECCIÓN PRESIDENCIA Y | , PA -""Lal- l"" VICEPRESIDENCIA DE LA REPÚBLICA — E - E MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 016 | LUGAR: IE INEM JOSE EUSTACIO RIVERA X 4-50-68-18 X . NIVELACIÓN D",True,81,,4,2,,,,4,,,,10,,12,,5,33,5,S
017.pdf,60,001,01,01,017,"R AEOOO ENNNO - 7100934620910103 Ver: 01 Pag: 1 de 3 E . H-- E ACTA DE ESCRUTINIO DE LOS m :|_'F-l'i.p_¡-_'¿¡_.¡ : JURADOS DE VOTACIÓN A DELEGADOS — aA ELECCIÓN PRESIDENCIA Y aE VICEPRESIDENCIA DE LA REPÚBLICA r E_ e, =º' MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 017 LUGAR: 1E INEM JOSE EUSTACIO RIVERA X 7-10-73-14 X NIVELACIÓN DE ",True,74,15,346,5,,4,5,,2026,,9,10,,,13,,2072,7,S
018.pdf,60,001,01,01,018,"' TOLI AOOO ERO - 710093472010103 Ver: 01 Pag: 1 de 3 | E ' E ACTA DE ESCRUTINIO DE LOS m | e JURADOS DE VOTACIÓN ' s N - ELECCIÓN PRESIDENCIA Y VICEPRESIDENCIA DE LA REPUBLICA — . E "" MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO;:; 60 - AMAZONAS | MUNICIPIO: 001 - LETICIA f ZONA: 01 PUESTO: 01 MESA: 018 | LUGAR: IÉ INEM JOSE EUSTACIO RIVERÁ | X 3-18-25-14 X NIVELACIÓN DE LA MESA ' 156 15 6 I CAND",True,82,156,1,2,,,,5,,,,40,,,,4,51,4,S
019.pdf,60,001,01,01,019,- — OMONANTEY ANVNO — f 710093482010103 Ver: 01 Pag: 1 de 3 | E E 2.E ACTA DE ESCRUTINIO DE LOS m m E - JURADOS DE VOTACIÓN Ml Ta| ELECCIÓN PRESIDENCIA Y | e rEN-Le. VICEPRESIDENCIA DE LA REPÚBLICA =. f E — ME MAYO 31 DE 2026 REGISTRADURÍA | DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA | ZONA: 01 PUESTO: 01 MESA: 019 | LUGAR: IE INEM JOSE EUSTACIO RIVERA | K 2-11-18-18 X | NIVELACIÓN DE LA,True,79,,5,2,,4,,,,,,10,,,,,16,3,S
020.pdf,60,001,01,01,020,— — ONO NN AMNONAANEE — 710093492010103 Ver: 01 Pag: 1 de 3 | El Te E ACTA DE ESCRUTINIO DE LOS m = 1:$E JURADOS DE VOTACIÓN — EN ELECCIÓN PRESIDENCIA Y J El E VICEPRESIDENCIA DE LA REPUBLICA — [m]k uE MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 020 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 4-81-82-15 X NIVELACIÓN DE LA MESA ' 156 156 CA,True,91,156,4,5205,3,4,,6,,,,,14,12,3,4,5251,8,S
021.pdf,60,001,01,01,021,"— ONAMENINDANAANT — 710093502010103 Ver: 01 Pag: 1 de 3 E ' E E ACTA DE ESCRUTINIO DE LOS m - _I¡I.p] "" JURADOS DE VOTACIÓN l N i E a DELEGADOS = [ — ELECCIÓN PRESIDENCIA Y | ""Es BFE VICEPRESIDENCIA DE LA REPÚBLICA — E_ rr MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 021 LUGAR: IE INEM JOSE EUSTACIO RIVERA X 5-73-16-13 X NIVELACIÓN DE",True,81,148,9350,1805,6,9,,,,,,3,,,13,7,1843,6,S
022.pdf,60,001,01,01,022,"- — OOMRMEENNNA NNNO — | 710093512010103 Ver: 01 Pag: 1 de 3 [m] AA fa] — ACTADE ESCRUTINIO DE LOS m ' _;-!.-¿-¿ y JURADOS DE VOTACIÓN . E EA a:'."" ELECCIÓN PRESIDENCIA Y : My | . VICEPRESIDENCIA DE LA REPÚBLICA T - E "" . MAYO 31 DE 2026 REGISTRADURÍA DEPARTAMENTO: 60 - AMAZONAS MUNICIPIO;: 001 - LETICIA ZONA: 01 PUESTO: 01 MESA: 022 LUGAR: IE INEM JOSE EUSTACIO RIVERA K 3-18-62-12 X NIVELACIÓN DE",True,94,137,9351,2,5,,5,6,,,37,,11,,1,,67,7,N
